address,floor,area,rent,price,date,kr_sqm,change,sqm,rooms
Rörstrandsgatan 16,3.0,"Vasastan Birkastan,",3748.0,9925000.0,2020-03-03,102320.0,13.0,97.0,3.0
Gotlandsgatan 71,4.0,"Södermalm SoFo,",2213.0,3500000.0,2020-03-03,83333.0,18.0,42.0,1.0
Högbergsgatan 81D,2.0,"Södermalm - Mariatorget,",3057.0,4825000.0,2020-03-03,94608.0,10.0,51.0,2.0
Kungsholms Strand 183,1.0,"Kungsholmen,",2585.0,3950000.0,2020-03-03,94048.0,20.0,42.0,2.0
Bråvallagatan 8,5.0,"Vasastan - Birkastan,",2206.0,2860000.0,2020-03-02,114400.0,15.0,25.0,1.0
Birger Jarlsgatan 104A,4.0,"Vasastan,",1679.0,2600000.0,2020-03-02,136842.0,30.0,19.0,1.0
Birkagatan 27,2.0,"Vasastan,",2756.0,8000000.0,2020-03-02,114286.0,25.0,70.0,3.0
Fyrverkarbacken 25,2.0,"Kungsholmen,",2214.0,2950000.0,2020-03-01,68605.0,2.0,43.0,1.0
Roslagsgatan 41,1.0,"Vasastan,",3413.0,5575000.0,2020-03-01,94492.0,13.0,59.0,2.0
Holländargatan 9A,4.0,"Norrmalm/Vasastan,",3984.0,7600000.0,2020-02-29,107042.0,1.0,71.0,3.0
Wittstocksgatan 30,3.0,"Östermalm,",1111.0,5900000.0,2020-02-28,103509.0,4.0,57.0,2.0
Banérgatan 79,2.0,"Nedre Gärdet,",2865.0,7025000.0,2020-02-28,93667.0,8.0,75.0,3.0
Hälsingegatan 37,5.0,"Vasastan,",1860.0,4625000.0,2020-02-28,96354.0,16.0,48.0,2.0
Holländargatan 9A,1.0,"Vasastan/Norrmalm/City,",3648.0,6125000.0,2020-02-28,94231.0,8.0,65.0,2.0
Brännkyrkagatan 66,3.0,"Södermalm,",1689.0,3600000.0,2020-02-28,90000.0,13.0,40.0,2.0
Birger Jarlsgatan 104 B,2.0,"Vasastan,",2279.0,3300000.0,2020-02-28,106452.0,11.0,31.0,2.0
Erik Dahlbergsgatan 27,55.0,"Östermalm / Nedre Gärdet,",2020.0,3700000.0,2020-02-27,105714.0,20.0,35.0,2.0
Ernst Ahlgrens Väg 10,2.0,"Kungsholmen - Fredhäll,",2260.0,3200000.0,2020-02-27,78049.0,7.0,41.0,2.0
Rörstrandsgatan 56B,4.0,"Vasastan - Birkastan,",2435.0,3700000.0,2020-02-27,108824.0,16.0,34.0,2.0
Skeppargatan 75,5.0,"Nedre Gärdet / Östermalm,",1337.0,2900000.0,2020-02-27,120833.0,21.0,24.0,1.0
Hästholmsvägen 17,5.0,"Södermalm / Danviksklippan,",1881.0,2430000.0,2020-02-27,86786.0,11.0,28.0,1.0
Falugatan 22,1.0,"Vasastan - Röda bergen,",2337.0,3400000.0,2020-02-27,91892.0,15.0,37.0,1.0
Ingemarsgatan 7,2.0,"Vasastan,",2050.0,3650000.0,2020-02-27,104286.0,16.0,35.0,1.0
Timmermansgatan 38 B,4.0,"Maria,",2823.0,5225000.0,2020-02-26,104500.0,31.0,50.0,2.0
Ingemarsgatan 2,4.0,"Vasastan - Sibirien,",2387.0,3700000.0,2020-02-26,68519.0,6.0,54.0,2.0
Folkungagatan 136B,4.0,"Katarina/Sofia,",1605.0,2675000.0,2020-02-26,95536.0,12.0,28.0,1.0
Valhallavägen 53,5.0,"Östermalm,",1796.0,3010000.0,2020-02-26,107500.0,12.0,28.0,1.0
Odengatan 37A,1.0,"Vasastan,",1010.0,6000000.0,2020-02-26,100000.0,13.0,60.0,2.0
Madängsgatan 22,3.0,"Norra Djurgårdsstaden,",4998.0,6800000.0,2020-02-26,80952.0,10.0,84.0,4.0
Ringvägen 155,2.0,"Södermalm,",1863.0,3000000.0,2020-02-26,88235.0,25.0,34.0,1.0
Sandhamnsgatan 13,5.0,"Gärdet / Östermalm,",2355.0,2850000.0,2020-02-26,101786.0,24.0,28.0,1.0
Kungsholms Strand 143,2.0,"Kungsholmen,",1965.0,4320000.0,2020-02-26,93913.0,20.0,46.0,2.0
Kungsholms strand 137,4.0,"Kungsholmen,",1946.0,3500000.0,2020-02-26,94595.0,17.0,37.0,2.0
Björngårdsgatan 17,2.0,"Södermalm - Mariatorget,",5433.0,11600000.0,2020-02-26,101754.0,10.0,114.0,4.0
Upplandsgatan 22,3.0,"Vasastan - Odenplan,",2454.0,7090000.0,2020-02-25,107424.0,18.0,66.0,3.0
Skånegatan 80,4.0,"Nytorget-Södermalm,",2605.0,7200000.0,2020-02-25,107463.0,26.0,67.0,3.0
Kungsklippan 11,2.0,"Kungsholmen,",1714.0,2850000.0,2020-02-25,118750.0,43.0,24.0,1.0
Tomtebogatan 49,3.0,"Vasastan - Birkastan,",3167.0,6330000.0,2020-02-25,109138.0,16.0,58.0,2.0
Nordenflychtsvägen 62,3.0,"Kungsholmen,",2153.0,4925000.0,2020-02-25,79435.0,5.0,62.0,2.0
Krukmakargatan 14,1.0,"Södermalm - Mariatorget,",1775.0,5275000.0,2020-02-25,87917.0,17.0,60.0,2.0
Tomtebogatan 40,2.0,"Vasastan - Birkastan,",2588.0,5600000.0,2020-02-25,96552.0,12.0,58.0,2.0
Skånegatan 80,4.0,"Nytorget-Södermalm,",2894.0,7200000.0,2020-02-25,107463.0,26.0,67.0,3.0
Birger Jarlsgatan 104I,44.0,"Vasastan / Östermalm,",3958.0,6400000.0,2020-02-25,112281.0,19.0,57.0,2.0
Brantingsgatan 51,1.0,"Gärdet / Östermalm,",1762.0,3040000.0,2020-02-25,108571.0,27.0,28.0,1.0
Åsögatan 194,4.0,"Södermalm,",2801.0,5300000.0,2020-02-25,94643.0,12.0,56.0,2.0
Sankt Eriksgatan 101,2.0,"Vasastan,",2348.0,4430000.0,2020-02-25,92292.0,11.0,48.0,2.0
Norrtullsgatan 11,5.0,"Vasastan,",1210.0,4750000.0,2020-02-25,118750.0,32.0,40.0,2.0
Strindbergsgatan 44,2.0,"Östermalm / Nedre Gärdet,",2134.0,4625000.0,2020-02-25,118590.0,25.0,39.0,2.0
Hagagatan 9,3.0,"Vasastan,",2502.0,7225000.0,2020-02-25,114683.0,23.0,63.0,3.0
Sigtunagatan 1,1.0,"Vasastan,",829.0,4900000.0,2020-02-25,113953.0,24.0,43.0,2.0
Vikingagatan 12,2.0,"Vasastan - Birkastan,",1610.0,6500000.0,2020-02-25,116071.0,24.0,56.0,2.0
Parkgatan 6,1.0,"Kungsholmen,",1843.0,3925000.0,2020-02-25,112143.0,12.0,35.0,2.0
Fleminggatan 81,1.0,"Kungsholmen,",3495.0,6900000.0,2020-02-25,83133.0,5.0,83.0,4.0
Södra Agnegatan 20,1.0,"Kungsholmen,",787.0,3300000.0,2020-02-25,132000.0,32.0,25.0,1.0
Grevgatan 23B,1.0,"Östermalm,",1513.0,3300000.0,2020-02-25,137500.0,25.0,24.0,1.0
Gävlegatan 32,3.0,"Vasastan,",2500.0,4650000.0,2020-02-24,93000.0,1.0,50.0,2.0
Grindsgatan 31,3.0,"Katarina/Sofia,",1276.0,2250000.0,2020-02-24,107143.0,15.0,21.0,1.0
Sonja Kovalevskys Gata 3,2.0,"Hagastaden - Vasastan,",1750.0,3600000.0,2020-02-24,102857.0,13.0,35.0,2.0
Kungsklippan 12,6.0,"Kungsholmen,",2906.0,4400000.0,2020-02-24,122222.0,35.0,36.0,2.0
Tobaksspinnargatan 10,4.0,"Högalid - Södermalm,",2415.0,3817500.0,2020-02-24,90893.0,9.0,42.0,2.0
Hantverkargatan 30A,3.0,"Kungsholmen,",1457.0,8700000.0,2020-02-24,110127.0,24.0,79.0,3.0
Roslagsgatan 35A,2.0,"Vasastan - Sibirien,",2292.0,5000000.0,2020-02-23,106383.0,16.0,47.0,2.0
Gästrikegatan 8,2.0,"Vasastan,",4966.0,10200000.0,2020-02-23,120000.0,18.0,85.0,3.0
Erik Dahlbergsgatan 41,6.0,"Gärdet,",3927.0,7000000.0,2020-02-23,98592.0,10.0,71.0,3.0
Bohusgatan 27,3.0,"Sofia,",2434.0,3150000.0,2020-02-22,92647.0,11.0,34.0,1.0
Norrtullsgatan 32,5.0,"Vasastan,",2691.0,4400000.0,2020-02-22,89796.0,16.0,49.0,2.0
Luxgatan 25,66.0,"Lilla Essingen \ Kungsholmen,",5325.0,9600000.0,2020-02-22,96000.0,13.0,100.0,4.0
Drottningholmsvägen 72,1.0,"Kungsholmen/Thorildsplan,",1419.0,2900000.0,2020-02-21,107407.0,21.0,27.0,1.0
Husarviksgatan 8,5.0,"Norra Djurgårdsstaden,",4700.0,6870000.0,2020-02-21,85875.0,1.0,80.0,4.0
Dannemoragatan 18,2.0,"Vasastan,",1885.0,3400000.0,2020-02-21,94444.0,6.0,36.0,1.0
Blanchegatan 4,4.0,"Östermalm - Tessinparken,",4500.0,9400000.0,2020-02-21,108046.0,11.0,87.0,3.0
Valhallavägen 10,4.0,"Östermalm,",1776.0,5810000.0,2020-02-21,79589.0,6.0,73.0,3.0
Fyrverkarbacken 25,13.0,"Kungsholmen,",2295.0,3050000.0,2020-02-21,70930.0,2.0,43.0,1.0
Västgötagatan 22,1.0,"Södermalm Katarina,",1816.0,3375000.0,2020-02-21,102273.0,22.0,33.0,2.0
Malmgårdsvägen 20,5.0,"Södermalm,",2991.0,5150000.0,2020-02-21,88793.0,20.0,58.0,2.0
Gammelgårdsvägen 23,1.0,"Stora Essingen,",3302.0,4170000.0,2020-02-21,71897.0,10.0,58.0,3.0
Rutger Fuchsgatan 9,3.0,"Katarina/Sofia,",1911.0,2950000.0,2020-02-21,95161.0,18.0,31.0,1.0
Garvargatan 22,4.0,"Kungsholmen,",3020.0,6750000.0,2020-02-21,90000.0,8.0,75.0,3.0
Metargatan 3,1.0,"Södermalm,",704.0,3310000.0,2020-02-21,97353.0,7.0,34.0,1.0
Chapmansgatan 5,6.0,"Kungsholmen,",6132.0,15260000.0,2020-02-21,106713.0,14.0,143.0,5.0
Hagagatan 15E,3.0,"Vasastan,",3861.0,7000000.0,2020-02-21,90909.0,9.0,77.0,3.0
Kocksgatan 32,12.0,"SOFO / Södermalm,",3194.0,4950000.0,2020-02-21,83898.0,13.0,59.0,2.0
Frejgatan 89,2.0,"Vasastan,",949.0,2610000.0,2020-02-20,153529.0,23.0,17.0,1.0
